genome_1,genome_2,species,comparison,snp_distance,diff_sites,valid_sites
GCF_040790735.1_ASM4079073v1,GCF_051054855.1_ASM5105485v1,Borreliella burgdorferi,Intra-species,0.004540720242136455,3431,755607
GCF_040790735.1_ASM4079073v1,GCF_002997085.1_ASM299708v1,Borreliella burgdorferi,Intra-species,0.005037013515390875,3807,755805
GCF_040790735.1_ASM4079073v1,GCF_030444985.1_ASM3044498v1,Borreliella burgdorferi,Intra-species,0.004696718252487316,3549,755634
GCF_040790735.1_ASM4079073v1,GCF_002997105.1_ASM299710v1,Borreliella burgdorferi,Intra-species,0.005484005865133686,4144,755652
GCF_040790735.1_ASM4079073v1,GCF_002997045.1_ASM299704v1,Borreliella burgdorferi,Intra-species,0.005488150253828604,4147,755628
GCF_040790735.1_ASM4079073v1,GCF_003367295.1_ASM336729v1,Borreliella burgdorferi,Intra-species,0.004845902420304622,3662,755690
GCF_040790735.1_ASM4079073v1,GCF_002151485.1_ASM215148v1,Borreliella burgdorferi,Intra-species,0.004652506403656279,3511,754647
GCF_040790735.1_ASM4079073v1,GCF_002996365.1_ASM299636v1,Borreliella burgdorferi,Intra-species,0.005484005865133686,4144,755652
GCF_040790735.1_ASM4079073v1,GCF_002995985.1_ASM299598v1,Borreliella burgdorferi,Intra-species,0.005448971139507158,4118,755739
GCF_040790735.1_ASM4079073v1,GCF_002996405.1_ASM299640v1,Borreliella burgdorferi,Intra-species,0.004934595764108061,3729,755685
GCF_040790735.1_ASM4079073v1,GCF_002996395.1_ASM299639v1,Borreliella burgdorferi,Intra-species,0.00489538076213321,3698,755406
GCF_040790735.1_ASM4079073v1,GCF_002996645.1_ASM299664v1,Borreliella burgdorferi,Intra-species,0.004770234793470667,3605,755728
GCF_040790735.1_ASM4079073v1,GCF_002996545.1_ASM299654v1,Borreliella burgdorferi,Intra-species,0.004189426659891599,3166,755712
GCF_040790735.1_ASM4079073v1,GCF_051054285.1_ASM5105428v1,Borreliella burgdorferi,Intra-species,0.005153765928498446,3894,755564
GCF_040790735.1_ASM4079073v1,GCF_002996475.1_ASM299647v1,Borreliella burgdorferi,Intra-species,0.0006959273695268487,526,755826
GCF_040790735.1_ASM4079073v1,GCF_051054485.1_ASM5105448v1,Borreliella burgdorferi,Intra-species,0.005310798977846722,4009,754877
GCF_040790735.1_ASM4079073v1,GCF_024662155.1_ASM2466215v1,Borreliella burgdorferi,Intra-species,0.0050542538426221785,3820,755799
GCF_040790735.1_ASM4079073v1,GCF_032595535.1_ASM3259553v1,Borreliella burgdorferi,Intra-species,0.004905009934962605,3651,744341
GCF_040790735.1_ASM4079073v1,GCF_002997145.1_ASM299714v1,Borreliella burgdorferi,Intra-species,0.004751690747104459,3591,755731
GCF_040790735.1_ASM4079073v1,GCF_002996465.1_ASM299646v1,Borreliella burgdorferi,Intra-species,0.005576198340108401,4214,755712
GCF_040790735.1_ASM4079073v1,GCF_002997265.1_ASM299726v1,Borreliella burgdorferi,Intra-species,0.004771558020875236,3606,755728
GCF_040790735.1_ASM4079073v1,GCF_002996245.1_ASM299624v1,Borreliella burgdorferi,Intra-species,0.0055285611449864495,4178,755712
GCF_040790735.1_ASM4079073v1,GCF_000166635.1_ASM16663v1,Borreliella burgdorferi,Intra-species,0.005526134313521756,4175,755501
GCF_040790735.1_ASM4079073v1,GCF_002996485.1_ASM299648v1,Borreliella burgdorferi,Intra-species,0.0055695666276121825,4207,755355
GCF_040790735.1_ASM4079073v1,GCF_000021405.1_ASM2140v1,Borreliella burgdorferi,Intra-species,0.004828723354942952,3646,755065
GCF_040790735.1_ASM4079073v1,GCF_002995885.1_ASM299588v1,Borreliella burgdorferi,Intra-species,0.0021381940199370715,1616,755778
GCF_040790735.1_ASM4079073v1,GCF_000444465.1_ASM44446v1,Borreliella burgdorferi,Intra-species,0.004666977709897688,3511,752307
GCF_040790735.1_ASM4079073v1,GCF_002996925.1_ASM299692v1,Borreliella burgdorferi,Intra-species,0.005531185698312195,4180,755715
GCF_040790735.1_ASM4079073v1,GCF_051054355.1_ASM5105435v1,Borreliella burgdorferi,Intra-species,0.004167753053021389,3149,755563
GCF_040790735.1_ASM4079073v1,GCF_002996025.1_ASM299602v1,Borreliella burgdorferi,Intra-species,0.004164191132006314,3147,755729
GCF_040790735.1_ASM4079073v1,GCF_002996285.1_ASM299628v1,Borreliella burgdorferi,Intra-species,0.005384732450655392,4069,755655
GCF_040790735.1_ASM4079073v1,GCF_002997285.1_ASM299728v1,Borreliella burgdorferi,Intra-species,0.0007091579278828725,536,755826
GCF_040790735.1_ASM4079073v1,GCF_002151505.1_ASM215150v1,Borreliella burgdorferi,Intra-species,0.004640107148623718,3506,755586
GCF_040790735.1_ASM4079073v1,GCF_002996585.1_ASM299658v1,Borreliella burgdorferi,Intra-species,0.002091884124703286,1581,755778
GCF_040790735.1_ASM4079073v1,GCF_002996705.1_ASM299670v1,Borreliella burgdorferi,Intra-species,0.005343121558000259,4038,755738
GCF_040790735.1_ASM4079073v1,GCF_040790805.1_ASM4079080v1,Borreliella burgdorferi,Intra-species,0.004651070210591967,3505,753590
GCF_040790735.1_ASM4079073v1,GCF_040268345.1_ASM4026834v1,Borreliella burgdorferi,Intra-species,0.0047916556361518505,3620,755480
GCF_040790735.1_ASM4079073v1,GCF_002996685.1_ASM299668v1,Borreliella burgdorferi,Intra-species,0.005588063272278813,4223,755718
GCF_040790735.1_ASM4079073v1,GCF_002996865.1_ASM299686v1,Borreliella burgdorferi,Intra-species,0.0055284953044840626,4178,755721
GCF_040790735.1_ASM4079073v1,GCF_002996005.1_ASM299600v1,Borreliella burgdorferi,Intra-species,0.0043281966597066195,3271,755742
GCF_040790735.1_ASM4079073v1,GCF_030440345.1_ASM3044034v2,Borreliella burgdorferi,Intra-species,0.0021145034026567584,1598,755733
GCF_040790735.1_ASM4079073v1,GCF_002996165.1_ASM299616v1,Borreliella burgdorferi,Intra-species,0.004771513824290261,3606,755735
GCF_040790735.1_ASM4079073v1,GCF_030439625.1_ASM3043962v2,Borreliella burgdorferi,Intra-species,0.004581619527068875,3462,755628
GCF_040790735.1_ASM4079073v1,GCF_002997245.1_ASM299724v1,Borreliella burgdorferi,Intra-species,0.004764979714762836,3601,755722
GCF_040790735.1_ASM4079073v1,GCF_002996385.1_ASM299638v1,Borreliella burgdorferi,Intra-species,0.004352567207396056,3289,755646
GCF_040790735.1_ASM4079073v1,GCF_051054405.1_ASM5105440v1,Borreliella burgdorferi,Intra-species,0.005045940155387961,3813,755657
GCF_040790735.1_ASM4079073v1,GCF_051054305.1_ASM5105430v1,Borreliella burgdorferi,Intra-species,0.005445116795439599,4115,755723
GCF_040790735.1_ASM4079073v1,GCF_040790795.1_ASM4079079v1,Borreliella burgdorferi,Intra-species,0.002122531828040474,1602,754759
GCF_040790735.1_ASM4079073v1,GCF_032595375.1_ASM3259537v2,Borreliella burgdorferi,Intra-species,0.004926056174789559,3719,754965
GCF_040790735.1_ASM4079073v1,GCF_024662175.1_ASM2466217v1,Borreliella burgdorferi,Intra-species,0.00211979627725665,1602,755733
GCF_040790735.1_ASM4079073v1,GCF_030445005.1_ASM3044500v2,Borreliella burgdorferi,Intra-species,0.004584071311894229,3463,755442
GCF_040790735.1_ASM4079073v1,GCF_000166655.1_ASM16665v1,Borreliella burgdorferi,Intra-species,0.00437605479996029,3306,755475
GCF_040790735.1_ASM4079073v1,GCF_002997065.1_ASM299706v1,Borreliella burgdorferi,Intra-species,0.005384732450655392,4069,755655
GCF_040790735.1_ASM4079073v1,GCF_051054345.1_ASM5105434v1,Borreliella burgdorferi,Intra-species,0.004712844804458984,3531,749229
GCF_040790735.1_ASM4079073v1,GCF_002995865.1_ASM299586v1,Borreliella burgdorferi,Intra-species,0.005248822786719923,3966,755598
GCF_040790735.1_ASM4079073v1,GCF_002997165.1_ASM299716v1,Borreliella burgdorferi,Intra-species,0.0054844413387118976,4144,755592
GCF_040790735.1_ASM4079073v1,GCF_040790785.1_ASM4079078v1,Borreliella burgdorferi,Intra-species,0.004771520138037987,3606,755734
GCF_040790735.1_ASM4079073v1,GCF_040790745.1_ASM4079074v1,Borreliella burgdorferi,Intra-species,0.005529145301750586,4172,754547
GCF_040790735.1_ASM4079073v1,GCF_002996965.1_ASM299696v1,Borreliella burgdorferi,Intra-species,0.005385908483236046,4069,755490
GCF_040790735.1_ASM4079073v1,GCF_002996605.1_ASM299660v1,Borreliella burgdorferi,Intra-species,0.004173564162925147,3154,755709
GCF_040790735.1_ASM4079073v1,GCF_038801875.1_ASM3880187v1,Borreliella burgdorferi,Intra-species,0.002114086541198212,1597,755409
GCF_040790735.1_ASM4079073v1,GCF_002442595.2_ASM244259v2,Borreliella burgdorferi,Intra-species,0.005060869358122993,3825,755799
GCF_040790735.1_ASM4079073v1,GCF_024662195.1_ASM2466219v1,Borreliella burgdorferi,Intra-species,0.004624326672227566,3476,751677
GCF_040790735.1_ASM4079073v1,GCF_002996265.1_ASM299626v1,Borreliella burgdorferi,Intra-species,0.0043968112202705835,3323,755775
GCF_040790735.1_ASM4079073v1,GCF_002996125.1_ASM299612v1,Borreliella burgdorferi,Intra-species,0.0021410527680848163,1618,755703
GCF_040790735.1_ASM4079073v1,GCF_002996625.1_ASM299662v1,Borreliella burgdorferi,Intra-species,0.0021302551807541367,1610,755778
GCF_040790735.1_ASM4079073v1,GCF_040790755.1_ASM4079075v1,Borreliella burgdorferi,Intra-species,0.005491658483512435,4144,754599
GCF_040790735.1_ASM4079073v1,GCF_030439665.1_ASM3043966v2,Borreliella burgdorferi,Intra-species,0.00527488000508167,3986,755657
GCF_040790735.1_ASM4079073v1,GCF_002995915.1_ASM299591v1,Borreliella burgdorferi,Intra-species,0.005538769400582067,4185,755583
GCF_040790735.1_ASM4079073v1,GCF_040790715.1_ASM4079071v1,Borreliella burgdorferi,Intra-species,0.0021593471150487442,1632,755784
GCF_040790735.1_ASM4079073v1,GCF_051147265.1_ASM5114726v1,Borreliella burgdorferi,Intra-species,0.004297053864701694,3247,755634
GCF_040790735.1_ASM4079073v1,GCF_002995935.1_ASM299593v1,Borreliella burgdorferi,Intra-species,0.004886114222021006,3691,755406
GCF_040790735.1_ASM4079073v1,GCF_019134655.1_ASM1913465v1,Borreliella burgdorferi,Intra-species,0.005122633544449532,3871,755666
GCF_040790735.1_ASM4079073v1,GCF_032595755.1_ASM3259575v2,Borreliella burgdorferi,Intra-species,0.004976837360711156,3498,702856
GCF_040790735.1_ASM4079073v1,GCF_040790775.1_ASM4079077v1,Borreliella burgdorferi,Intra-species,0.0047023065018761525,3549,754736
GCF_040790735.1_ASM4079073v1,GCF_032595515.1_ASM3259551v2,Borreliella burgdorferi,Intra-species,0.004745097248273869,3529,743715
GCF_040790735.1_ASM4079073v1,GCF_002997205.1_ASM299720v1,Borreliella burgdorferi,Intra-species,0.005372203741488497,4060,755742
GCF_040790735.1_ASM4079073v1,GCF_030445065.1_ASM3044506v2,Borreliella burgdorferi,Intra-species,0.004681250256357331,3538,755781
GCF_002996105.1_ASM299610v1,GCF_000008685.2_ASM868v2,Borreliella burgdorferi,Intra-species,0.0053480626563284965,4024,752422
GCF_002996105.1_ASM299610v1,GCF_002996305.1_ASM299630v1,Borreliella burgdorferi,Intra-species,0.004617336577376109,3490,755847
GCF_002996105.1_ASM299610v1,GCF_040790765.1_ASM4079076v1,Borreliella burgdorferi,Intra-species,0.005903656560736183,4460,755464
GCF_002996105.1_ASM299610v1,GCF_002151465.1_ASM215146v1,Borreliella burgdorferi,Intra-species,0.005363530375473593,4053,755659
GCF_002996105.1_ASM299610v1,GCF_030439605.1_ASM3043960v2,Borreliella burgdorferi,Intra-species,0.005338106539875061,4035,755886
GCF_002996105.1_ASM299610v1,GCF_002996345.1_ASM299634v1,Borreliella burgdorferi,Intra-species,0.004617336577376109,3490,755847
GCF_002996105.1_ASM299610v1,GCF_002083055.2_ASM208305v2,Borreliella burgdorferi,Intra-species,0.005379029622524703,4049,752738
GCF_002996105.1_ASM299610v1,GCF_030445025.1_ASM3044502v2,Borreliella burgdorferi,Intra-species,0.005427722526040633,4103,755934
GCF_002996105.1_ASM299610v1,GCF_040819585.1_PFhe_I_PB_Ill_cons,Borreliella burgdorferi,Intra-species,0.005651108252470871,4270,755604
GCF_002996105.1_ASM299610v1,GCF_000181555.2_ASM18155v2,Borreliella burgdorferi,Intra-species,0.005431196251720805,4107,756187
GCF_002996105.1_ASM299610v1,GCF_051054475.1_ASM5105447v1,Borreliella burgdorferi,Intra-species,0.005990202902079303,4527,755734
GCF_002996105.1_ASM299610v1,GCF_044941625.1_ASM4494162v1,Borreliella burgdorferi,Intra-species,0.006056607400157311,4443,733579
GCF_002996105.1_ASM299610v1,GCF_051054855.1_ASM5105485v1,Borreliella burgdorferi,Intra-species,0.005961098080304167,4506,755901
GCF_002996105.1_ASM299610v1,GCF_002997085.1_ASM299708v1,Borreliella burgdorferi,Intra-species,0.005380737778624097,4069,756216
