GCF_002995915.1_ASM299591v1|NZ_PHOJ01000016.1|length=8402	GCF_002995915.1_ASM299591v1|NZ_PHOJ01000016.1|length=8402
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002996365.1_ASM299636v1|NZ_PHQC01000004.1|length=28898
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002996385.1_ASM299638v1|NZ_PHQE01000006.1|length=27673
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002996405.1_ASM299640v1|NZ_PHQH01000006.1|length=23028
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002996475.1_ASM299647v1|NZ_PHOF01000004.1|length=29258
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002997285.1_ASM299728v1|NZ_PHQO01000004.1|length=29098
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002996545.1_ASM299654v1|NZ_PHOH01000005.1|length=29074
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002996705.1_ASM299670v1|NZ_PHOU01000007.1|length=24454
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002996925.1_ASM299692v1|NZ_PHPP01000003.1|length=31005
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_000166635.1_ASM16663v1|NC_017416.1|length=29424
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_000181555.2_ASM18155v2|NC_011862.1|length=29501
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002995885.1_ASM299588v1|NZ_PHOM01000004.1|length=28994
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002995985.1_ASM299598v1|NZ_PHOW01000004.1|length=28917
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002996105.1_ASM299610v1|NZ_PHPH01000005.1|length=28753
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002996245.1_ASM299624v1|NZ_PHPS01000005.1|length=28802
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002996285.1_ASM299628v1|NZ_PHPU01000005.1|length=28455
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002996465.1_ASM299646v1|NZ_PHOE01000006.1|length=28947
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002996485.1_ASM299648v1|NZ_PHOG01000005.1|length=28952
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002996585.1_ASM299658v1|NZ_PHOL01000004.1|length=28856
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002996605.1_ASM299660v1|NZ_PHON01000005.1|length=28283
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002996625.1_ASM299662v1|NZ_PHOO01000004.1|length=28925
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002996685.1_ASM299668v1|NZ_PHOR01000006.1|length=29075
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002996865.1_ASM299686v1|NZ_PHPG01000004.1|length=28795
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002997065.1_ASM299706v1|NZ_PHQA01000005.1|length=28932
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002997205.1_ASM299720v1|NZ_PHQL01000005.1|length=28929
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_024662175.1_ASM2466217v1|NZ_CP094591.1|length=29187
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_040790745.1_ASM4079074v1|NZ_CP161080.1|length=29824
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_040790795.1_ASM4079079v1|NZ_CP161163.1|length=29837
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_051054305.1_ASM5105430v1|NZ_CP147761.1|length=15987
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002996965.1_ASM299696v1|NZ_PHPM01000005.1|length=28959
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002997045.1_ASM299704v1|NZ_PHPV01000004.1|length=28940
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002997085.1_ASM299708v1|NZ_PHPW01000003.1|length=30237
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002997085.1_ASM299708v1|NZ_PHPW01000004.1|length=27703
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_002997105.1_ASM299710v1|NZ_PHPY01000004.1|length=28880
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_030440345.1_ASM3044034v2|NZ_CP179413.1|length=29090
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_051054355.1_ASM5105435v1|NZ_CP147147.1|length=20037
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_051054485.1_ASM5105448v1|NZ_CP147292.1|length=15842
GCF_002995935.1_ASM299593v1|NZ_PHOK01000002.1|length=59397	GCF_030439665.1_ASM3043966v2|NZ_CP179301.1|length=14408
GCF_002995935.1_ASM299593v1|NZ_PHOK01000019.1|length=5170	GCF_002995935.1_ASM299593v1|NZ_PHOK01000019.1|length=5170
GCF_002995935.1_ASM299593v1|NZ_PHOK01000019.1|length=5170	GCF_002996395.1_ASM299639v1|NZ_PHQF01000021.1|length=5198
GCF_002995935.1_ASM299593v1|NZ_PHOK01000004.1|length=27763	GCF_002995935.1_ASM299593v1|NZ_PHOK01000004.1|length=27763
GCF_002995935.1_ASM299593v1|NZ_PHOK01000005.1|length=27700	GCF_002995935.1_ASM299593v1|NZ_PHOK01000005.1|length=27700
GCF_002995935.1_ASM299593v1|NZ_PHOK01000005.1|length=27700	GCF_002996395.1_ASM299639v1|NZ_PHQF01000006.1|length=27314
GCF_002995985.1_ASM299598v1|NZ_PHOW01000010.1|length=19008	GCF_002995985.1_ASM299598v1|NZ_PHOW01000010.1|length=19008
GCF_002995985.1_ASM299598v1|NZ_PHOW01000010.1|length=19008	GCF_002996105.1_ASM299610v1|NZ_PHPH01000010.1|length=18808
GCF_002995985.1_ASM299598v1|NZ_PHOW01000010.1|length=19008	GCF_002996285.1_ASM299628v1|NZ_PHPU01000012.1|length=9365
GCF_002995985.1_ASM299598v1|NZ_PHOW01000010.1|length=19008	GCF_002997065.1_ASM299706v1|NZ_PHQA01000014.1|length=8658
GCF_002995985.1_ASM299598v1|NZ_PHOW01000010.1|length=19008	GCF_002997205.1_ASM299720v1|NZ_PHQL01000013.1|length=8658
GCF_002996005.1_ASM299600v1|NZ_PHOT01000001.1|length=909965	GCF_002996005.1_ASM299600v1|NZ_PHOT01000001.1|length=909965
GCF_002996005.1_ASM299600v1|NZ_PHOT01000001.1|length=909965	GCF_002996385.1_ASM299638v1|NZ_PHQE01000001.1|length=909992
GCF_002996005.1_ASM299600v1|NZ_PHOT01000001.1|length=909965	GCF_002997285.1_ASM299728v1|NZ_PHQO01000001.1|length=909609
GCF_002996005.1_ASM299600v1|NZ_PHOT01000001.1|length=909965	GCF_002996475.1_ASM299647v1|NZ_PHOF01000001.1|length=905868
GCF_002996005.1_ASM299600v1|NZ_PHOT01000004.1|length=28932	GCF_002996005.1_ASM299600v1|NZ_PHOT01000004.1|length=28932
GCF_002996005.1_ASM299600v1|NZ_PHOT01000009.1|length=21335	GCF_002996005.1_ASM299600v1|NZ_PHOT01000009.1|length=21335
GCF_002996025.1_ASM299602v1|NZ_PHOV01000001.1|length=909876	GCF_002996025.1_ASM299602v1|NZ_PHOV01000001.1|length=909876
GCF_002996105.1_ASM299610v1|NZ_PHPH01000001.1|length=903046	GCF_002996105.1_ASM299610v1|NZ_PHPH01000001.1|length=903046
GCF_002996105.1_ASM299610v1|NZ_PHPH01000001.1|length=903046	GCF_002995985.1_ASM299598v1|NZ_PHOW01000001.1|length=902872
GCF_002996105.1_ASM299610v1|NZ_PHPH01000012.1|length=17096	GCF_002996105.1_ASM299610v1|NZ_PHPH01000012.1|length=17096
GCF_002996105.1_ASM299610v1|NZ_PHPH01000012.1|length=17096	GCF_002995985.1_ASM299598v1|NZ_PHOW01000012.1|length=16874
GCF_002996105.1_ASM299610v1|NZ_PHPH01000012.1|length=17096	GCF_002996285.1_ASM299628v1|NZ_PHPU01000011.1|length=16989
GCF_002996105.1_ASM299610v1|NZ_PHPH01000012.1|length=17096	GCF_002997065.1_ASM299706v1|NZ_PHQA01000011.1|length=16842
GCF_002996105.1_ASM299610v1|NZ_PHPH01000012.1|length=17096	GCF_002997205.1_ASM299720v1|NZ_PHQL01000011.1|length=17096
GCF_002996105.1_ASM299610v1|NZ_PHPH01000012.1|length=17096	GCF_051054305.1_ASM5105430v1|NZ_CP147757.1|length=13422
GCF_002996105.1_ASM299610v1|NZ_PHPH01000012.1|length=17096	GCF_002996965.1_ASM299696v1|NZ_PHPM01000011.1|length=17070
GCF_002996105.1_ASM299610v1|NZ_PHPH01000012.1|length=17096	GCF_051054485.1_ASM5105448v1|NZ_CP147289.1|length=12389
GCF_024662155.1_ASM2466215v1|NZ_CP094562.1|length=26507	GCF_024662155.1_ASM2466215v1|NZ_CP094562.1|length=26507
GCF_024662175.1_ASM2466217v1|NZ_CP094589.1|length=17965	GCF_024662175.1_ASM2466217v1|NZ_CP094589.1|length=17965
GCF_024662175.1_ASM2466217v1|NZ_CP094589.1|length=17965	GCF_002996125.1_ASM299612v1|NZ_PHPF01000008.1|length=17610
GCF_024662175.1_ASM2466217v1|NZ_CP094589.1|length=17965	GCF_030440345.1_ASM3044034v2|NZ_CP124078.1|length=17944
GCF_024662175.1_ASM2466217v1|NZ_CP094589.1|length=17965	GCF_040790795.1_ASM4079079v1|NZ_CP161172.1|length=17973
GCF_024662175.1_ASM2466217v1|NZ_CP094580.1|length=26515	GCF_024662175.1_ASM2466217v1|NZ_CP094580.1|length=26515
GCF_024662175.1_ASM2466217v1|NZ_CP094580.1|length=26515	GCF_030440345.1_ASM3044034v2|NZ_CP124077.1|length=26514
GCF_024662175.1_ASM2466217v1|NZ_CP094580.1|length=26515	GCF_038801875.1_ASM3880187v1|NZ_CP152379.1|length=26514
GCF_024662175.1_ASM2466217v1|NZ_CP094580.1|length=26515	GCF_040790795.1_ASM4079079v1|NZ_CP161167.1|length=26512
GCF_024662175.1_ASM2466217v1|NZ_CP094584.1|length=30263	GCF_024662175.1_ASM2466217v1|NZ_CP094584.1|length=30263
GCF_024662175.1_ASM2466217v1|NZ_CP094584.1|length=30263	GCF_030440345.1_ASM3044034v2|NZ_CP179415.1|length=30255
GCF_024662175.1_ASM2466217v1|NZ_CP094584.1|length=30263	GCF_040790795.1_ASM4079079v1|NZ_CP161162.1|length=29914
GCF_024662175.1_ASM2466217v1|NZ_CP094585.1|length=30637	GCF_024662175.1_ASM2466217v1|NZ_CP094585.1|length=30637
GCF_024662175.1_ASM2466217v1|NZ_CP094585.1|length=30637	GCF_030440345.1_ASM3044034v2|NZ_CP179422.1|length=30636
GCF_024662175.1_ASM2466217v1|NZ_CP094586.1|length=30642	GCF_024662175.1_ASM2466217v1|NZ_CP094586.1|length=30642
GCF_024662175.1_ASM2466217v1|NZ_CP094586.1|length=30642	GCF_002995885.1_ASM299588v1|NZ_PHOM01000019.1|length=5196
GCF_024662175.1_ASM2466217v1|NZ_CP094586.1|length=30642	GCF_002996125.1_ASM299612v1|NZ_PHPF01000014.1|length=8516
GCF_024662175.1_ASM2466217v1|NZ_CP094586.1|length=30642	GCF_002996585.1_ASM299658v1|NZ_PHOL01000020.1|length=5316
GCF_024662175.1_ASM2466217v1|NZ_CP094586.1|length=30642	GCF_002996625.1_ASM299662v1|NZ_PHOO01000018.1|length=5785
GCF_024662175.1_ASM2466217v1|NZ_CP094586.1|length=30642	GCF_030440345.1_ASM3044034v2|NZ_CP179424.1|length=30641
GCF_024662175.1_ASM2466217v1|NZ_CP094586.1|length=30642	GCF_040790735.1_ASM4079073v1|NZ_CP161059.1|length=30645
GCF_024662175.1_ASM2466217v1|NZ_CP094587.1|length=21166	GCF_024662175.1_ASM2466217v1|NZ_CP094587.1|length=21166
GCF_024662175.1_ASM2466217v1|NZ_CP094587.1|length=21166	GCF_030440345.1_ASM3044034v2|NZ_CP179417.1|length=21164
GCF_024662175.1_ASM2466217v1|NZ_CP094587.1|length=21166	GCF_040790795.1_ASM4079079v1|NZ_CP161171.1|length=21164
GCF_024662175.1_ASM2466217v1|NZ_CP094588.1|length=21173	GCF_024662175.1_ASM2466217v1|NZ_CP094588.1|length=21173
GCF_024662175.1_ASM2466217v1|NZ_CP094588.1|length=21173	GCF_030440345.1_ASM3044034v2|NZ_CP179425.1|length=21172
GCF_024662175.1_ASM2466217v1|NZ_CP094588.1|length=21173	GCF_002995885.1_ASM299588v1|NZ_PHOM01000014.1|length=7467
GCF_024662175.1_ASM2466217v1|NZ_CP094588.1|length=21173	GCF_002996585.1_ASM299658v1|NZ_PHOL01000017.1|length=7410
GCF_024662175.1_ASM2466217v1|NZ_CP094588.1|length=21173	GCF_002996625.1_ASM299662v1|NZ_PHOO01000014.1|length=7753
GCF_024662175.1_ASM2466217v1|NZ_CP094594.1|length=31386	GCF_024662175.1_ASM2466217v1|NZ_CP094594.1|length=31386
GCF_024662195.1_ASM2466219v1|NZ_CP094598.1|length=26499	GCF_024662195.1_ASM2466219v1|NZ_CP094598.1|length=26499
GCF_024662195.1_ASM2466219v1|NZ_CP094610.1|length=29936	GCF_024662195.1_ASM2466219v1|NZ_CP094610.1|length=29936
GCF_024662195.1_ASM2466219v1|NZ_CP094610.1|length=29936	GCF_000008685.2_ASM868v2|NC_001852.1|length=29766
GCF_024662195.1_ASM2466219v1|NZ_CP094610.1|length=29936	GCF_000021405.1_ASM2140v1|NC_011779.1|length=29758
GCF_024662195.1_ASM2466219v1|NZ_CP094610.1|length=29936	GCF_002083055.2_ASM208305v2|NZ_NBTP02000012.1|length=28930
GCF_024662195.1_ASM2466219v1|NZ_CP094610.1|length=29936	GCF_030439605.1_ASM3043960v2|NZ_CP179350.1|length=29924
GCF_024662195.1_ASM2466219v1|NZ_CP094610.1|length=29936	GCF_030445065.1_ASM3044506v2|NZ_CP179365.1|length=29924
GCF_024662195.1_ASM2466219v1|NZ_CP094610.1|length=29936	GCF_040790775.1_ASM4079077v1|NZ_CP161184.1|length=29925
GCF_024662195.1_ASM2466219v1|NZ_CP094610.1|length=29936	GCF_040790805.1_ASM4079080v1|NZ_CP161197.1|length=29924
GCF_024662195.1_ASM2466219v1|NZ_CP094610.1|length=29936	GCF_051054345.1_ASM5105434v1|NZ_CP147255.1|length=24424
GCF_024662195.1_ASM2466219v1|NZ_CP094610.1|length=29936	GCF_040819585.1_PFhe_I_PB_Ill_cons|NZ_CP161912.1|length=29969
GCF_024662195.1_ASM2466219v1|NZ_CP094610.1|length=29936	GCF_002996265.1_ASM299626v1|NZ_PHPX01000003.1|length=29746
GCF_024662195.1_ASM2466219v1|NZ_CP094610.1|length=29936	GCF_002996385.1_ASM299638v1|NZ_PHQE01000005.1|length=29890
GCF_024662195.1_ASM2466219v1|NZ_CP094610.1|length=29936	GCF_032595375.1_ASM3259537v2|NZ_CP179312.1|length=29846
GCF_026571635.1_ASM2657163v1|NZ_CP075199.1|length=904928	GCF_026571635.1_ASM2657163v1|NZ_CP075199.1|length=904928
GCF_026571655.1_ASM2657165v1|NZ_CP075200.1|length=904618	GCF_026571655.1_ASM2657165v1|NZ_CP075200.1|length=904618
GCF_026571675.1_ASM2657167v1|NZ_CP075201.1|length=901907	GCF_026571675.1_ASM2657167v1|NZ_CP075201.1|length=901907
GCF_026571695.1_ASM2657169v1|NZ_CP075202.1|length=901555	GCF_026571695.1_ASM2657169v1|NZ_CP075202.1|length=901555
GCF_026571715.1_ASM2657171v1|NZ_CP075203.1|length=904750	GCF_026571715.1_ASM2657171v1|NZ_CP075203.1|length=904750
GCF_026571735.1_ASM2657173v1|NZ_CP075204.1|length=905354	GCF_026571735.1_ASM2657173v1|NZ_CP075204.1|length=905354
GCF_026571755.1_ASM2657175v1|NZ_CP075205.1|length=903159	GCF_026571755.1_ASM2657175v1|NZ_CP075205.1|length=903159
GCF_026571755.1_ASM2657175v1|NZ_CP075205.1|length=903159	GCF_026571615.1_ASM2657161v1|NZ_CP075198.1|length=902686
GCF_026571775.1_ASM2657177v1|NZ_CP075206.1|length=905110	GCF_026571775.1_ASM2657177v1|NZ_CP075206.1|length=905110
GCF_026571795.1_ASM2657179v1|NZ_CP075207.1|length=906080	GCF_026571795.1_ASM2657179v1|NZ_CP075207.1|length=906080
GCF_026571795.1_ASM2657179v1|NZ_CP075207.1|length=906080	GCF_000962775.1_ASM96277v1|NZ_CP009058.1|length=905949
GCF_026571795.1_ASM2657179v1|NZ_CP075207.1|length=906080	GCF_026571835.1_ASM2657183v1|NZ_CP075209.1|length=906136
GCF_026571815.1_ASM2657181v1|NZ_CP075208.1|length=883646	GCF_026571815.1_ASM2657181v1|NZ_CP075208.1|length=883646
GCF_026571875.1_ASM2657187v1|NZ_CP075210.1|length=903085	GCF_026571875.1_ASM2657187v1|NZ_CP075210.1|length=903085
GCF_026571895.1_ASM2657189v1|NZ_CP075211.1|length=902667	GCF_026571895.1_ASM2657189v1|NZ_CP075211.1|length=902667
GCF_026571915.1_ASM2657191v1|NZ_CP075212.1|length=903046	GCF_026571915.1_ASM2657191v1|NZ_CP075212.1|length=903046
GCF_026571935.1_ASM2657193v1|NZ_CP075213.1|length=896680	GCF_026571935.1_ASM2657193v1|NZ_CP075213.1|length=896680
GCF_026571955.1_ASM2657195v1|NZ_CP075214.1|length=906057	GCF_026571955.1_ASM2657195v1|NZ_CP075214.1|length=906057
GCF_026571995.1_ASM2657199v1|NZ_CP075216.1|length=906076	GCF_026571995.1_ASM2657199v1|NZ_CP075216.1|length=906076
GCF_026571995.1_ASM2657199v1|NZ_CP075216.1|length=906076	GCF_000741005.1_ASM74100v1|NZ_CP009212.1|length=905861
GCF_026572015.1_ASM2657201v1|NZ_CP075217.1|length=905790	GCF_026572015.1_ASM2657201v1|NZ_CP075217.1|length=905790
GCF_026572035.1_ASM2657203v1|NZ_CP075218.1|length=902483	GCF_026572035.1_ASM2657203v1|NZ_CP075218.1|length=902483
GCF_026572055.1_ASM2657205v1|NZ_CP075219.1|length=902309	GCF_026572055.1_ASM2657205v1|NZ_CP075219.1|length=902309
GCF_026572095.1_ASM2657209v1|NZ_CP075221.1|length=905129	GCF_026572095.1_ASM2657209v1|NZ_CP075221.1|length=905129
GCF_026572095.1_ASM2657209v1|NZ_CP075221.1|length=905129	GCF_026572115.1_ASM2657211v1|NZ_CP075222.1|length=903887
GCF_026572135.1_ASM2657213v1|NZ_CP075223.1|length=904531	GCF_026572135.1_ASM2657213v1|NZ_CP075223.1|length=904531
GCF_026572155.1_ASM2657215v1|NZ_CP075224.1|length=876765	GCF_026572155.1_ASM2657215v1|NZ_CP075224.1|length=876765
GCF_026572175.1_ASM2657217v1|NZ_CP075225.1|length=905016	GCF_026572175.1_ASM2657217v1|NZ_CP075225.1|length=905016
GCF_026572195.1_ASM2657219v1|NZ_CP075226.1|length=901166	GCF_026572195.1_ASM2657219v1|NZ_CP075226.1|length=901166
GCF_026572215.1_ASM2657221v1|NZ_CP075227.1|length=904882	GCF_026572215.1_ASM2657221v1|NZ_CP075227.1|length=904882
GCF_026572235.1_ASM2657223v1|NZ_CP075228.1|length=901961	GCF_026572235.1_ASM2657223v1|NZ_CP075228.1|length=901961
GCF_026572255.1_ASM2657225v1|NZ_CP075229.1|length=902350	GCF_026572255.1_ASM2657225v1|NZ_CP075229.1|length=902350
GCF_026572275.1_ASM2657227v1|NZ_CP075230.1|length=905314	GCF_026572275.1_ASM2657227v1|NZ_CP075230.1|length=905314
GCF_026572275.1_ASM2657227v1|NZ_CP075230.1|length=905314	GCF_026642375.1_ASM2664237v1|NZ_CP075407.1|length=905112
GCF_026572275.1_ASM2657227v1|NZ_CP075230.1|length=905314	GCF_026572075.1_ASM2657207v1|NZ_CP075220.1|length=905059
GCF_026572295.1_ASM2657229v1|NZ_CP075231.1|length=905206	GCF_026572295.1_ASM2657229v1|NZ_CP075231.1|length=905206
GCF_026572315.1_ASM2657231v1|NZ_CP075232.1|length=905692	GCF_026572315.1_ASM2657231v1|NZ_CP075232.1|length=905692
GCF_026572335.1_ASM2657233v1|NZ_CP075233.1|length=904854	GCF_026572335.1_ASM2657233v1|NZ_CP075233.1|length=904854
GCF_026572355.1_ASM2657235v1|NZ_CP075234.1|length=905207	GCF_026572355.1_ASM2657235v1|NZ_CP075234.1|length=905207
GCF_026572395.1_ASM2657239v1|NZ_CP075236.1|length=901613	GCF_026572395.1_ASM2657239v1|NZ_CP075236.1|length=901613
GCF_026572415.1_ASM2657241v1|NZ_CP075237.1|length=899771	GCF_026572415.1_ASM2657241v1|NZ_CP075237.1|length=899771
GCF_026572455.1_ASM2657245v1|NZ_CP075238.1|length=903539	GCF_026572455.1_ASM2657245v1|NZ_CP075238.1|length=903539
GCF_026572475.1_ASM2657247v1|NZ_CP075239.1|length=905782	GCF_026572475.1_ASM2657247v1|NZ_CP075239.1|length=905782
GCF_026572515.1_ASM2657251v1|NZ_CP075241.1|length=899629	GCF_026572515.1_ASM2657251v1|NZ_CP075241.1|length=899629
GCF_026572535.1_ASM2657253v1|NZ_CP075242.1|length=905249	GCF_026572535.1_ASM2657253v1|NZ_CP075242.1|length=905249
GCF_002996585.1_ASM299658v1|NZ_PHOL01000014.1|length=8019	GCF_002996585.1_ASM299658v1|NZ_PHOL01000014.1|length=8019
GCF_002996585.1_ASM299658v1|NZ_PHOL01000014.1|length=8019	GCF_002995885.1_ASM299588v1|NZ_PHOM01000013.1|length=7981
GCF_002996585.1_ASM299658v1|NZ_PHOL01000002.1|length=54100	GCF_002996585.1_ASM299658v1|NZ_PHOL01000002.1|length=54100
GCF_002996585.1_ASM299658v1|NZ_PHOL01000002.1|length=54100	GCF_002996005.1_ASM299600v1|NZ_PHOT01000002.1|length=53168
GCF_002996585.1_ASM299658v1|NZ_PHOL01000002.1|length=54100	GCF_002996125.1_ASM299612v1|NZ_PHPF01000003.1|length=53859
GCF_002996585.1_ASM299658v1|NZ_PHOL01000002.1|length=54100	GCF_002996625.1_ASM299662v1|NZ_PHOO01000002.1|length=53938
GCF_002996585.1_ASM299658v1|NZ_PHOL01000002.1|length=54100	GCF_002995885.1_ASM299588v1|NZ_PHOM01000002.1|length=53871
GCF_002996585.1_ASM299658v1|NZ_PHOL01000002.1|length=54100	GCF_040790715.1_ASM4079071v1|NZ_CP161145.1|length=53878
GCF_002996585.1_ASM299658v1|NZ_PHOL01000002.1|length=54100	GCF_040790735.1_ASM4079073v1|NZ_CP161056.1|length=53905
GCF_002996585.1_ASM299658v1|NZ_PHOL01000003.1|length=48181	GCF_002996585.1_ASM299658v1|NZ_PHOL01000003.1|length=48181
GCF_002996585.1_ASM299658v1|NZ_PHOL01000003.1|length=48181	GCF_002995885.1_ASM299588v1|NZ_PHOM01000010.1|length=17878
GCF_002996585.1_ASM299658v1|NZ_PHOL01000003.1|length=48181	GCF_002996625.1_ASM299662v1|NZ_PHOO01000009.1|length=18032
GCF_002996585.1_ASM299658v1|NZ_PHOL01000003.1|length=48181	GCF_002997285.1_ASM299728v1|NZ_PHQO01000009.1|length=17613
GCF_002996585.1_ASM299658v1|NZ_PHOL01000003.1|length=48181	GCF_040790715.1_ASM4079071v1|NZ_CP161157.1|length=17907
GCF_002996585.1_ASM299658v1|NZ_PHOL01000003.1|length=48181	GCF_000166655.1_ASM16665v1|NC_017410.1|length=17522
GCF_002996605.1_ASM299660v1|NZ_PHON01000001.1|length=909679	GCF_002996605.1_ASM299660v1|NZ_PHON01000001.1|length=909679
GCF_002996605.1_ASM299660v1|NZ_PHON01000016.1|length=8424	GCF_002996605.1_ASM299660v1|NZ_PHON01000016.1|length=8424
GCF_002996605.1_ASM299660v1|NZ_PHON01000002.1|length=54894	GCF_002996605.1_ASM299660v1|NZ_PHON01000002.1|length=54894
GCF_002996605.1_ASM299660v1|NZ_PHON01000002.1|length=54894	GCF_000166655.1_ASM16665v1|NC_013129.1|length=52916
GCF_002996605.1_ASM299660v1|NZ_PHON01000002.1|length=54894	GCF_002995865.1_ASM299586v1|NZ_PHOD01000002.1|length=53798
GCF_002996605.1_ASM299660v1|NZ_PHON01000002.1|length=54894	GCF_002996165.1_ASM299616v1|NZ_PHPK01000002.1|length=53796
GCF_002996605.1_ASM299660v1|NZ_PHON01000002.1|length=54894	GCF_002996265.1_ASM299626v1|NZ_PHPX01000002.1|length=53777
GCF_002996605.1_ASM299660v1|NZ_PHON01000002.1|length=54894	GCF_002996545.1_ASM299654v1|NZ_PHOH01000002.1|length=54870
GCF_002996605.1_ASM299660v1|NZ_PHON01000002.1|length=54894	GCF_002996645.1_ASM299664v1|NZ_PHOP01000002.1|length=53784
GCF_002996605.1_ASM299660v1|NZ_PHON01000002.1|length=54894	GCF_002997245.1_ASM299724v1|NZ_PHQM01000003.1|length=53819
GCF_002996605.1_ASM299660v1|NZ_PHON01000002.1|length=54894	GCF_002997265.1_ASM299726v1|NZ_PHQN01000003.1|length=53748
