genome,sp,PCo1,PCo2
GCF_014525525.1_ASM1452552v1,bav,-0.0311100260613787,0.0556793938872495
GCF_014525535.1_ASM1452553v1,bav,-0.0311100260613787,0.0556793938872495
GCF_014525565.1_ASM1452556v1,bav,-0.0311100260613787,0.0556793938872495
GCF_014525665.1_ASM1452566v1,bav,-0.0311100260613787,0.0556793938872495
GCF_014525685.1_ASM1452568v1,bav,-0.0311100260613787,0.0556793938872495
GCF_014525705.1_ASM1452570v1,bav,-0.0311100260613787,0.0556793938872495
GCF_014525715.1_ASM1452571v1,bav,-0.0311100260613787,0.0556793938872495
GCF_014525745.1_ASM1452574v1,bav,-0.0311100260613787,0.0556793938872495
GCF_014525755.1_ASM1452575v1,bav,-0.0311100260613787,0.0556793938872495
GCF_014525785.1_ASM1452578v1,bav,-0.0311100260613787,0.0556793938872495
GCF_014525805.2_ASM1452580v2,bav,-0.0311100260613787,0.0556793938872495
GCF_014525815.1_ASM1452581v1,bav,-0.0311100260613787,0.0556793938872495
GCF_014525845.1_ASM1452584v1,bav,-0.0311100260613786,0.0556793938872495
GCF_014525925.1_ASM1452592v1,bav,-0.0311100260613786,0.0556793938872495
GCF_014525935.1_ASM1452593v1,bav,-0.0311100260613787,0.0556793938872495
GCF_014526005.1_ASM1452600v1,bav,-0.0311100260613787,0.0556793938872495
GCF_014526025.1_ASM1452602v1,bav,-0.0311100260613786,0.0556793938872495
GCF_014526045.1_ASM1452604v1,bav,-0.0311100260613786,0.0556793938872495
GCF_018831585.1_ASM1883158v1,bav,-0.0311100260613786,0.0556793938872495
GCF_019134655.1_ASM1913465v1,bb,-0.0948921852095089,-0.0642497022159726
GCF_019464575.1_ASM1946457v1,bb,0.24413146633833,-0.117487570725659
GCF_024662155.1_ASM2466215v1,bb,0.180737424547879,-0.0673639665403033
GCF_024662175.1_ASM2466217v1,bb,-0.0311100260613786,0.0556793938872495
GCF_024662195.1_ASM2466219v1,bb,0.200761076969532,-0.260932408334309
GCF_026643455.2_ASM2664345v2,gar,-0.169487049190249,0.0129834108615247
GCF_030439605.1_ASM3043960v2,bb,0.148314799539399,-0.218529853183364
GCF_030439625.1_ASM3043962v2,bb,-0.0311100260613787,0.0556793938872495
GCF_030439665.1_ASM3043966v2,bb,0.180737424547879,-0.0673639665403033
GCF_030440345.1_ASM3044034v2,bb,-0.0311100260613786,0.0556793938872495
GCF_030444985.1_ASM3044498v1,bb,-0.00988448270410569,0.195565456945535
GCF_030445005.1_ASM3044500v2,bb,-0.0311100260613786,0.0556793938872495
GCF_030445025.1_ASM3044502v2,bb,-0.0311100260613786,0.0556793938872495
GCF_030445065.1_ASM3044506v2,bb,0.200761076969532,-0.260932408334309
GCF_032595375.1_ASM3259537v2,bb,-0.0311100260613786,0.0556793938872495
GCF_032595515.1_ASM3259551v2,bb,-0.0311100260613786,0.0556793938872495
GCF_032595535.1_ASM3259553v1,bb,-0.00988448270410566,0.195565456945535
GCF_032595755.1_ASM3259575v2,bb,-0.169487049190249,0.0129834108615248
GCF_032603535.1_ASM3260353v1,gar,-0.169487049190249,0.0129834108615248
GCF_032604805.1_ASM3260480v1,gar,-0.169487049190249,0.0129834108615248
GCF_032605755.1_ASM3260575v1,gar,-0.169487049190249,0.0129834108615248
GCF_032606795.1_ASM3260679v1,gar,-0.319116054937429,-0.0670679172467036
GCF_032607615.1_ASM3260761v1,gar,-0.331988539225544,-0.254407576637401
GCF_032608435.1_ASM3260843v1,gar,-0.331988539225544,-0.254407576637401
GCF_032609235.1_ASM3260923v1,gar,-0.331988539225544,-0.254407576637401
GCF_032610035.1_ASM3261003v1,gar,-0.331988539225544,-0.254407576637401
GCF_032610675.1_ASM3261067v1,gar,-0.331988539225544,-0.254407576637401
GCF_035341875.1_ASM3534187v1,gar,-0.169487049190249,0.0129834108615249
GCF_038801875.1_ASM3880187v1,bb,-0.118763850890064,-0.387150644135763
GCF_040790685.1_ASM4079068v1,afz,-0.0311100260613787,0.0556793938872494
GCF_040790705.1_ASM4079070v1,gar,-0.169487049190249,0.0129834108615247
GCF_040790715.1_ASM4079071v1,bb,0.0199249042180808,0.031334305207538
GCF_040790735.1_ASM4079073v1,bb,0.0341332529374815,0.0204716555379451
GCF_040790745.1_ASM4079074v1,bb,0.180737424547879,-0.0673639665403034
GCF_040790755.1_ASM4079075v1,bb,0.0995920722212805,-0.0135710377543792
GCF_040790765.1_ASM4079076v1,bb,0.0199249042180808,0.031334305207538
GCF_040790775.1_ASM4079077v1,bb,0.180737424547879,-0.0673639665403034
GCF_040790785.1_ASM4079078v1,bb,-0.0311100260613787,0.0556793938872494
GCF_040790795.1_ASM4079079v1,bb,-0.0311100260613786,0.0556793938872494
GCF_040790805.1_ASM4079080v1,bb,-0.0770749093407504,-0.066959258027637
GCF_040819585.1_PFhe_I_PB_Ill_cons,bb,-0.0311100260613786,0.0556793938872494
GCF_044941625.1_ASM4494162v1,bb,-0.00988448270410566,0.195565456945535
GCF_051054285.1_ASM5105428v1,bb,0.0341332529374815,0.0204716555379451
GCF_051054305.1_ASM5105430v1,bb,0.0995920722212805,-0.0135710377543792
GCF_051054345.1_ASM5105434v1,bb,0.180737424547879,-0.0673639665403034
GCF_051054355.1_ASM5105435v1,bb,-0.00988448270410566,0.195565456945535
GCF_051054405.1_ASM5105440v1,bb,0.077085216242659,0.130088755717671
GCF_051054475.1_ASM5105447v1,bb,-0.00988448270410566,0.195565456945535
GCF_051054485.1_ASM5105448v1,bb,0.180737424547879,-0.0673639665403034
GCF_051054855.1_ASM5105485v1,bb,-0.00988448270410566,0.195565456945535
GCF_051147265.1_ASM5114726v1,bb,-0.0311100260613786,0.0556793938872494
