genome,sp,carrier,BBK32,BmpA_B,CspA_Z,DbpA,DbpB,Erp,Mlp,OspA,OspB,OspC,OspD,P66,VlsE
GCF_026571895.1_ASM2657189v1,afz,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026571915.1_ASM2657191v1,afz,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026571935.1_ASM2657193v1,afz,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026571955.1_ASM2657195v1,afz,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026571995.1_ASM2657199v1,afz,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026572015.1_ASM2657201v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026572035.1_ASM2657203v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026572055.1_ASM2657205v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026572075.1_ASM2657207v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026572095.1_ASM2657209v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026572115.1_ASM2657211v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026572135.1_ASM2657213v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026572155.1_ASM2657215v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026572175.1_ASM2657217v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026572195.1_ASM2657219v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026572215.1_ASM2657221v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026572235.1_ASM2657223v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026572255.1_ASM2657225v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026572275.1_ASM2657227v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026572295.1_ASM2657229v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026572315.1_ASM2657231v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026572335.1_ASM2657233v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026572355.1_ASM2657235v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026572375.1_ASM2657237v1,bav,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026572395.1_ASM2657239v1,bav,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026572415.1_ASM2657241v1,bav,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026572455.1_ASM2657245v1,bav,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026572475.1_ASM2657247v1,bav,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026572515.1_ASM2657251v1,bav,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026572535.1_ASM2657253v1,bav,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026572675.1_ASM2657267v1,bav,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026572795.1_ASM2657279v1,bav,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026572815.1_ASM2657281v1,bav,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026572835.1_ASM2657283v1,bav,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026572855.1_ASM2657285v1,bav,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026572875.1_ASM2657287v1,afz,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026572895.1_ASM2657289v1,afz,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026572915.1_ASM2657291v1,afz,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026642275.1_ASM2664227v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026642295.1_ASM2664229v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026642315.1_ASM2664231v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026642335.1_ASM2664233v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026642355.1_ASM2664235v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026642375.1_ASM2664237v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026642395.1_ASM2664239v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026642415.1_ASM2664241v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026642435.1_ASM2664243v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026642455.1_ASM2664245v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026642475.1_ASM2664247v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026642495.1_ASM2664249v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026642515.1_ASM2664251v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026642535.1_ASM2664253v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026642555.1_ASM2664255v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026642575.1_ASM2664257v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026642595.1_ASM2664259v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026642615.1_ASM2664261v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026642635.1_ASM2664263v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026642655.1_ASM2664265v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026642675.1_ASM2664267v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026642715.1_ASM2664271v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026642795.1_ASM2664279v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026642855.1_ASM2664285v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026642955.1_ASM2664295v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026643035.1_ASM2664303v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026643075.1_ASM2664307v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026643175.1_ASM2664317v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026643255.1_ASM2664325v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026643295.1_ASM2664329v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026643355.1_ASM2664335v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026643375.1_ASM2664337v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026643395.1_ASM2664339v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026643415.1_ASM2664341v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026643435.1_ASM2664343v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026643455.2_ASM2664345v2,gar,TRUE,0,1,0,1,1,1,1,1,0,1,0,1,0
GCF_026643475.1_ASM2664347v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026643495.1_ASM2664349v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026643515.1_ASM2664351v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026643535.1_ASM2664353v1,afz,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026643555.1_ASM2664355v1,afz,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026643575.1_ASM2664357v1,afz,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026643595.1_ASM2664359v1,afz,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026644015.1_ASM2664401v1,afz,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026644375.1_ASM2664437v1,afz,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026644475.1_ASM2664447v1,afz,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026644635.1_ASM2664463v1,afz,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_026644785.1_ASM2664478v1,afz,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_030439605.1_ASM3043960v2,bb,TRUE,0,1,1,1,1,1,1,1,1,1,1,1,1
GCF_030439625.1_ASM3043962v2,bb,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_030439665.1_ASM3043966v2,bb,TRUE,0,1,1,1,1,1,1,1,1,1,1,1,0
GCF_030440345.1_ASM3044034v2,bb,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_030444985.1_ASM3044498v1,bb,TRUE,0,1,0,1,1,1,0,1,1,1,0,1,0
GCF_030445005.1_ASM3044500v2,bb,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_030445025.1_ASM3044502v2,bb,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_030445065.1_ASM3044506v2,bb,TRUE,1,1,1,1,1,1,1,1,1,1,1,1,1
GCF_032595375.1_ASM3259537v2,bb,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_032595515.1_ASM3259551v2,bb,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_032595535.1_ASM3259553v1,bb,TRUE,0,0,0,1,1,1,0,1,1,1,0,1,0
GCF_032595755.1_ASM3259575v2,bb,TRUE,0,1,0,1,1,1,1,1,0,1,0,1,0
GCF_032603535.1_ASM3260353v1,gar,TRUE,0,1,0,1,1,1,1,1,0,1,0,1,0
GCF_032604805.1_ASM3260480v1,gar,TRUE,0,1,0,1,1,1,1,1,0,1,0,1,0
GCF_032605755.1_ASM3260575v1,gar,TRUE,0,1,0,1,1,1,1,1,0,1,0,1,0
GCF_032606795.1_ASM3260679v1,gar,TRUE,0,1,0,1,1,0,1,1,0,1,0,1,0
GCF_032607615.1_ASM3260761v1,gar,TRUE,0,1,0,1,1,0,1,1,0,1,0,1,1
GCF_032608435.1_ASM3260843v1,gar,TRUE,0,1,0,1,1,0,1,1,0,1,0,1,1
GCF_032609235.1_ASM3260923v1,gar,TRUE,0,1,0,1,1,0,1,1,0,1,0,1,1
GCF_032610035.1_ASM3261003v1,gar,TRUE,0,1,0,1,1,0,1,1,0,1,0,1,1
GCF_032610675.1_ASM3261067v1,gar,TRUE,0,1,0,1,1,0,1,1,0,1,0,1,1
GCF_035341875.1_ASM3534187v1,gar,TRUE,0,1,0,1,1,1,1,1,0,1,0,1,0
GCF_038801875.1_ASM3880187v1,bb,TRUE,0,1,0,0,0,0,0,0,0,1,0,1,0
GCF_040268345.1_ASM4026834v1,bb,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_040732965.1_ASM4073296v1,gar,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_040790685.1_ASM4079068v1,afz,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_040790705.1_ASM4079070v1,gar,TRUE,0,1,0,1,1,1,1,1,0,1,0,1,0
GCF_040790715.1_ASM4079071v1,bb,TRUE,1,1,0,1,1,1,1,1,1,1,0,1,0
GCF_040790735.1_ASM4079073v1,bb,TRUE,0,1,1,1,1,1,1,1,1,1,0,1,0
GCF_040790745.1_ASM4079074v1,bb,TRUE,0,1,1,1,1,1,1,1,1,1,1,1,0
GCF_040790755.1_ASM4079075v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,1,1,0
GCF_040790765.1_ASM4079076v1,bb,TRUE,1,1,0,1,1,1,1,1,1,1,0,1,0
GCF_040790775.1_ASM4079077v1,bb,TRUE,0,1,1,1,1,1,1,1,1,1,1,1,0
GCF_040790785.1_ASM4079078v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_040790795.1_ASM4079079v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_040790805.1_ASM4079080v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,1
GCF_040819585.1_PFhe_I_PB_Ill_cons,bb,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
GCF_041014875.1_ASM4101487v1,afz,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
GCF_044941625.1_ASM4494162v1,bb,TRUE,0,1,0,1,1,1,0,1,1,1,0,1,0
GCF_051054285.1_ASM5105428v1,bb,TRUE,0,1,1,1,1,1,1,1,1,1,0,1,0
GCF_051054305.1_ASM5105430v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,1,1,0
GCF_051054345.1_ASM5105434v1,bb,TRUE,0,1,1,1,1,1,1,1,1,1,1,1,0
GCF_051054355.1_ASM5105435v1,bb,TRUE,0,1,0,1,1,1,0,1,1,1,0,1,0
GCF_051054405.1_ASM5105440v1,bb,TRUE,0,1,1,1,1,1,0,1,1,1,0,1,0
GCF_051054475.1_ASM5105447v1,bb,TRUE,0,1,0,1,1,1,0,1,1,1,0,1,0
GCF_051054485.1_ASM5105448v1,bb,TRUE,0,1,1,1,1,1,1,1,1,1,1,1,0
GCF_051054855.1_ASM5105485v1,bb,TRUE,0,1,0,1,1,1,0,1,1,1,0,1,0
GCF_051147265.1_ASM5114726v1,bb,TRUE,0,1,0,1,1,1,1,1,1,1,0,1,0
